
Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
idegree93    0   0  0.035   1       1.00
idegree94    0   0  0.075   1       1.00
idegree95    0   0  0.105   1       1.00
idegree96    0   0  0.165   1       1.00
idegree97    0   0  0.280   2       1.00
idegree98    0   0  0.220   2       1.00
idegree99    0   0  0.335   2       1.00
idegree100   1   0  0.325   2       0.61
idegree101   0   0  0.275   2       1.00
idegree102   0   0  0.365   3       1.00
idegree103   0   0  0.295   2       1.00
idegree104   0   0  0.310   3       1.00
idegree105   0   0  0.260   2       1.00
idegree106   0   0  0.175   2       1.00
idegree107   0   0  0.180   2       1.00
idegree108   0   0  0.170   2       1.00
idegree109   2   0  0.200   2       0.03
idegree110   0   0  0.200   2       1.00
idegree111   1   0  0.255   2       0.45
idegree112   0   0  0.235   2       1.00
idegree113   0   0  0.140   2       1.00
idegree114   0   0  0.255   2       1.00
idegree115   0   0  0.240   2       1.00
idegree116   0   0  0.185   2       1.00
idegree117   1   0  0.235   2       0.44
idegree118   1   0  0.325   2       0.59
idegree119   0   0  0.445   2       1.00
idegree120   0   0  0.535   3       1.00
idegree121   0   0  0.505   2       1.00
idegree122   2   0  0.600   3       0.21
idegree123   0   0  0.480   2       1.00
idegree124   1   0  0.325   2       0.57
idegree125   0   0  0.200   2       1.00
idegree126   0   0  0.155   2       1.00
idegree127   0   0  0.185   2       1.00
idegree128   0   0  0.185   2       1.00
idegree129   1   0  0.230   1       0.46
idegree130   0   0  0.130   1       1.00
idegree131   0   0  0.110   1       1.00
idegree132   0   0  0.025   1       1.00
idegree133   0   0  0.010   1       1.00

Goodness-of-fit for out-degree 

          obs min    mean max MC p-value
odegree1  105  84 102.920 116       0.80
odegree2   13   7  15.095  27       0.75
odegree3    0   0   4.270  13       0.01
odegree4    4   0   1.980   6       0.28
odegree5    5   0   1.465   6       0.03
odegree6    2   0   1.430   7       0.77
odegree7    1   0   1.485   5       1.00
odegree8    3   0   1.815   5       0.58
odegree9    1   0   1.760   6       1.00
odegree10   1   0   1.930   7       0.91
odegree11   5   0   2.070   7       0.11
odegree12   2   0   2.360   8       1.00
odegree13   7   0   2.910   8       0.02
odegree14   3   0   4.455  11       0.63
odegree15   5   1   5.510  13       1.00
odegree16   4   1   6.535  14       0.40
odegree17   2   2   6.855  14       0.04
odegree18  11   1   6.705  14       0.11
odegree19   7   1   6.655  14       1.00
odegree20   2   3   7.445  17       0.00
odegree21   7   3   8.125  17       0.87
odegree22  10   2   7.860  16       0.52
odegree23   4   3   8.165  17       0.15
odegree24  12   2   8.525  18       0.27
odegree25   9   1   7.550  15       0.65
odegree26   6   2   7.460  13       0.70
odegree27   8   2   6.950  13       0.76
odegree28   5   1   5.745  14       0.99
odegree29   3   0   4.640  12       0.54
odegree30   2   0   4.170  10       0.40
odegree31   4   0   3.475   9       0.90
odegree32   7   0   2.975   8       0.05
odegree33   6   0   2.675   7       0.08
odegree34   2   0   2.265   7       1.00
odegree35   2   0   1.900   6       1.00
odegree36   1   0   1.665   7       0.99
odegree37   2   0   1.235   4       0.70
odegree38   0   0   0.960   4       0.79
odegree39   0   0   0.665   3       0.98
odegree40   0   0   0.425   3       1.00
odegree41   0   0   0.390   3       1.00
odegree42   0   0   0.185   2       1.00
odegree43   0   0   0.150   1       1.00
odegree44   1   0   0.120   2       0.23
odegree45   0   0   0.030   1       1.00
odegree46   0   0   0.030   1       1.00
odegree47   0   0   0.015   1       1.00

Goodness-of-fit for edgewise shared partner 

      obs min    mean max MC p-value
esp0  442 413 452.650 503       0.59
esp1  119  84 121.840 162       0.83
esp2  120  87 117.885 157       0.86
esp3  133  81 109.780 145       0.07
esp4  121  59 100.515 128       0.03
esp5   92  62  88.980 126       0.78
esp6   97  63  85.405 107       0.21
esp7   62  66  89.580 116       0.00
esp8   79  74  94.890 121       0.13
esp9  113  77 107.700 138       0.64
esp10  83  93 121.620 158       0.00
esp11 124 107 135.755 166       0.36
esp12  95 114 148.850 182       0.00
esp13 128 124 155.035 194       0.02
esp14 114 116 158.430 194       0.00
esp15 165 118 151.290 185       0.35
esp16 166 112 145.725 182       0.13
esp17 110 104 138.545 184       0.02
esp18 130 101 131.290 163       1.00
esp19 142  93 121.480 160       0.13
esp20 121  78 110.380 137       0.39
esp21  96  68  97.685 128       0.96
esp22 125  58  86.585 115       0.00
esp23  97  37  74.875 103       0.09
esp24  70  41  62.875  91       0.49
esp25  61  30  53.135  78       0.33
esp26  40  22  43.160  68       0.72
esp27  46  18  35.455  57       0.17
esp28  37  13  28.420  47       0.21
esp29  45  10  23.390  41       0.00
esp30  40   8  18.340  37       0.00
esp31  19   3  15.270  27       0.48
esp32   7   5  11.475  22       0.34
esp33   8   2   8.755  20       0.99
esp34   2   1   6.440  16       0.11
esp35   2   0   4.445  11       0.42
esp36   0   0   3.165   9       0.16
esp37   1   0   2.060   7       0.85
esp38   1   0   1.300   6       1.00
esp39   2   0   0.810   6       0.37
esp40   0   0   0.550   4       1.00
esp41   3   0   0.325   3       0.03
esp42   1   0   0.130   2       0.19
esp43   0   0   0.070   3       1.00
esp44   0   0   0.030   3       1.00
esp45   0   0   0.005   1       1.00

Goodness-of-fit for minimum geodesic distance 

      obs   min      mean   max MC p-value
1    3459  3339  3466.375  3582       0.87
2   13719 13784 14687.590 15395       0.00
3   25038 25336 27140.080 29101       0.00
4   20758 19473 20719.820 21557       0.99
5    7828  5008  6412.250  8138       0.01
6    1673   460  1162.670  2175       0.14
7     159     0   145.245   750       0.74
8       0     0    13.260   165       1.00
9       0     0     0.280    15       1.00
10      0     0     0.010     1       1.00
Inf  2168     0  1054.420  3776       0.10

Goodness-of-fit for model statistics 

                                      obs         min        mean        max MC p-value
mutual.same.layer.mem.1           8.00000     1.00000     7.83500    18.0000       0.95
mutual.same.layer.mem.2         558.00000   533.00000   556.73500   586.0000       1.00
edges_layer.1                   182.00000   116.00000   185.20000   306.0000       0.98
edges_layer.2                  3003.00000  2932.00000  3007.17500  3077.0000       0.92
gwesp.layer.1.fixed.1.5          92.18761    21.77687    92.51644   262.2881       0.80
gwesp.layer.2.fixed.1.5       11673.68137 11296.31911 11688.21008 12014.5101       0.95
gwideg1.layer.mem1              217.42497   195.92109   218.49379   252.3238       0.97
gwideg1.layer.mem2              340.37602   335.28560   340.32573   345.0915       0.99
gwodeg1.layer.mem1              176.09466   160.27393   176.21789   194.6098       0.92
gwodeg1.layer.mem2              370.12100   369.71202   370.33953   371.1245       0.15
edgecov.layer.1.pol_absdiff     875.00000   515.00000   902.17500  1560.0000       0.95
edgecov.layer.2.pol_absdiff   17520.00000 16964.00000 17538.51500 18129.0000       0.99
edgecov.layer.1.alliance         90.00000    52.00000    91.57500   146.0000       1.00
edgecov.layer.2.alliance       1318.00000  1286.00000  1316.98000  1354.0000       0.95
edgecov.layer.1.nmc_ocov        880.61570   579.50146   897.40072  1227.9817       0.97
edgecov.layer.2.nmc_ocov       2488.70909  2327.53453  2485.43756  2607.0468       0.90
edgecov.layer.1.log_cdist       315.56522   199.59234   319.62899   525.3842       0.92
edgecov.layer.2.log_cdist      4774.93456  4651.34361  4787.25535  4920.4374       0.84
edgecov.layer.1.lgdp_icov      4681.99334  2959.51592  4761.90101  7877.9117       0.95
edgecov.layer.2.lgdp_icov     80516.59323 78695.52075 80642.58402 82460.8770       0.87
edgecov.layer.1.lgdp_ocov      5067.50874  3239.88216  5158.53212  8421.5841       0.94
edgecov.layer.2.lgdp_ocov     74478.23910 72702.69535 74577.68410 76286.6089       0.91
edgecov.layer.1.pathdep_arms     65.00000    45.00000    65.49000    84.0000       0.99
edgecov.layer.2.pathdep_arms     90.00000    82.00000    89.87500   102.0000       1.00
edgecov.layer.1.pathdep_trade    86.00000    50.00000    87.04500   140.0000       0.99
edgecov.layer.2.pathdep_trade  2687.00000  2649.00000  2694.16000  2746.0000       0.73

 
 Model Layer Independence: 
 

Goodness-of-fit for in-degree 

           obs min    mean max MC p-value
idegree1    62 129 139.120 143       0.00
idegree2    33   4   9.565  17       0.00
idegree3    39   4  10.790  17       0.00
idegree4    23   4  10.440  19       0.00
idegree5    12   3  10.130  19       0.63
idegree6    12   1   9.305  17       0.38
idegree7     9   0   8.545  17       0.93
idegree8    11   2   7.390  14       0.23
idegree9    11   1   6.135  12       0.07
idegree10    7   0   5.135  11       0.48
idegree11    1   0   3.815   9       0.20
idegree12    3   0   2.655   9       0.95
idegree13    1   0   2.045   6       0.73
idegree14    2   0   1.545   7       0.82
idegree15    1   0   1.065   4       1.00
idegree16    1   0   0.775   4       1.00
idegree17    1   0   0.650   3       0.93
idegree18    1   0   0.590   4       0.91
idegree19    3   0   0.635   3       0.04
idegree20    1   0   0.710   4       1.00
idegree21    1   0   0.530   3       0.86
idegree22    1   0   0.615   3       0.95
idegree23    0   0   0.680   3       0.95
idegree24    1   0   0.750   3       1.00
idegree25    1   0   0.760   4       1.00
idegree26    0   0   0.970   4       0.75
idegree27    2   0   1.015   4       0.50
idegree28    1   0   1.215   6       1.00
idegree29    2   0   1.220   5       0.64
idegree30    0   0   1.260   4       0.47
idegree31    0   0   1.150   4       0.61
idegree32    1   0   1.010   4       1.00
idegree33    0   0   0.885   4       0.81
idegree34    2   0   0.725   3       0.33
idegree35    0   0   0.690   4       0.95
idegree36    0   0   0.660   3       1.00
idegree37    0   0   0.630   3       1.00
idegree38    0   0   0.630   3       1.00
idegree39    1   0   0.680   3       1.00
idegree40    2   0   0.740   3       0.30
idegree41    0   0   0.715   3       0.90
idegree42    0   0   0.975   3       0.68
idegree43    3   0   0.915   4       0.15
idegree44    1   0   1.140   4       1.00
idegree45    1   0   0.940   5       1.00
idegree46    1   0   1.030   4       1.00
idegree47    1   0   1.055   4       1.00
idegree48    0   0   0.910   4       0.78
idegree49    0   0   0.835   4       0.86
idegree50    1   0   0.580   4       0.90
idegree51    0   0   0.375   2       1.00
idegree52    1   0   0.215   2       0.37
idegree53    0   0   0.195   2       1.00
idegree54    0   0   0.165   2       1.00
idegree55    0   0   0.060   1       1.00
idegree56    0   0   0.045   1       1.00
idegree57    0   0   0.140   2       1.00
idegree58    0   0   0.185   2       1.00
idegree59    0   0   0.300   2       1.00
idegree60    0   0   0.315   2       1.00
idegree61    1   0   0.395   3       0.71
idegree62    1   0   0.435   3       0.68
idegree63    0   0   0.405   3       1.00
idegree64    1   0   0.420   3       0.72
idegree65    0   0   0.330   3       1.00
idegree66    0   0   0.250   2       1.00
idegree67    0   0   0.245   2       1.00
idegree68    0   0   0.245   2       1.00
idegree69    0   0   0.160   2       1.00
idegree70    0   0   0.115   2       1.00
idegree71    0   0   0.125   1       1.00
idegree72    1   0   0.135   2       0.26
idegree73    0   0   0.170   2       1.00
idegree74    1   0   0.250   2       0.46
idegree75    0   0   0.240   2       1.00
idegree76    0   0   0.250   2       1.00
idegree77    0   0   0.185   2       1.00
idegree78    0   0   0.185   2       1.00
idegree79    0   0   0.185   2       1.00
idegree80    0   0   0.095   1       1.00
idegree81    1   0   0.125   2       0.23
idegree82    0   0   0.060   2       1.00
idegree83    0   0   0.015   1       1.00
idegree84    0   0   0.015   1       1.00
idegree85    0   0   0.010   1       1.00
idegree86    0   0   0.005   1       1.00
idegree87    0   0   0.005   1       1.00
idegree93    0   0   0.020   1       1.00
idegree94    0   0   0.045   1       1.00
idegree95    0   0   0.100   1       1.00
idegree96    0   0   0.115   2       1.00
idegree97    0   0   0.185   2       1.00
idegree98    0   0   0.250   2       1.00
idegree99    0   0   0.295   2       1.00
idegree100   1   0   0.390   2       0.74
idegree101   0   0   0.375   2       1.00
idegree102   0   0   0.355   3       1.00
idegree103   0   0   0.350   3       1.00
idegree104   0   0   0.300   2       1.00
idegree105   0   0   0.260   2       1.00
idegree106   0   0   0.265   2       1.00
idegree107   0   0   0.180   2       1.00
idegree108   0   0   0.240   2       1.00
idegree109   2   0   0.240   2       0.03
idegree110   0   0   0.185   2       1.00
idegree111   1   0   0.220   2       0.43
idegree112   0   0   0.205   2       1.00
idegree113   0   0   0.190   2       1.00
idegree114   0   0   0.245   3       1.00
idegree115   0   0   0.265   2       1.00
idegree116   0   0   0.235   2       1.00
idegree117   1   0   0.415   2       0.74
idegree118   1   0   0.505   3       0.85
idegree119   0   0   0.550   2       1.00
idegree120   0   0   0.710   3       0.94
idegree121   0   0   0.520   3       1.00
idegree122   2   0   0.340   2       0.05
idegree123   0   0   0.255   2       1.00
idegree124   1   0   0.150   2       0.28
idegree125   0   0   0.085   1       1.00
idegree126   0   0   0.115   1       1.00
idegree127   0   0   0.210   1       1.00
idegree128   0   0   0.225   1       1.00
idegree129   1   0   0.245   2       0.48
idegree130   0   0   0.135   1       1.00
idegree131   0   0   0.025   1       1.00
idegree132   0   0   0.005   1       1.00

Goodness-of-fit for out-degree 

          obs min    mean max MC p-value
odegree1  105 126 137.865 138       0.00
odegree2   13   0   0.125  12       0.00
odegree3    0   0   0.010   1       1.00
odegree4    4   0   0.010   1       0.00
odegree5    5   0   0.125   1       0.00
odegree6    2   0   0.215   2       0.01
odegree7    1   0   0.545   2       0.90
odegree8    3   0   0.690   3       0.06
odegree9    1   0   0.880   3       1.00
odegree10   1   0   0.945   4       1.00
odegree11   5   0   1.130   4       0.00
odegree12   2   0   1.655   5       1.00
odegree13   7   0   2.285   7       0.02
odegree14   3   0   3.415   8       1.00
odegree15   5   0   4.705  12       1.00
odegree16   4   1   5.855  13       0.53
odegree17   2   0   6.165  15       0.10
odegree18  11   2   6.435  12       0.07
odegree19   7   2   6.675  14       1.00
odegree20   2   1   7.705  15       0.02
odegree21   7   1   7.780  16       0.87
odegree22  10   3   8.095  14       0.61
odegree23   4   2   8.060  16       0.16
odegree24  12   3   8.145  15       0.18
odegree25   9   2   7.965  14       0.77
odegree26   6   2   7.370  15       0.79
odegree27   8   1   6.700  13       0.74
odegree28   5   1   5.800  15       0.97
odegree29   3   0   4.940  11       0.52
odegree30   2   0   3.780   8       0.46
odegree31   4   0   2.960   8       0.64
odegree32   7   0   2.855   7       0.03
odegree33   6   0   2.220   5       0.00
odegree34   2   0   2.075   6       1.00
odegree35   2   0   1.840   5       1.00
odegree36   1   0   1.775   5       0.87
odegree37   2   0   1.405   4       0.88
odegree38   0   0   1.005   4       0.67
odegree39   0   0   0.645   3       0.97
odegree40   0   0   0.465   3       1.00
odegree41   0   0   0.260   2       1.00
odegree42   0   0   0.195   2       1.00
odegree43   0   0   0.125   1       1.00
odegree44   1   0   0.045   1       0.09
odegree45   0   0   0.055   1       1.00
odegree46   0   0   0.005   1       1.00

Goodness-of-fit for edgewise shared partner 

      obs min    mean max MC p-value
esp0  442 319 336.085 351       0.00
esp1  119  58  79.065 106       0.00
esp2  120  78 100.110 133       0.05
esp3  133  78 104.735 131       0.00
esp4  121  70  97.390 125       0.03
esp5   92  65  90.040 117       0.82
esp6   97  64  88.995 118       0.53
esp7   62  68  90.235 119       0.00
esp8   79  68  95.055 123       0.10
esp9  113  75 106.980 137       0.59
esp10  83  95 124.625 153       0.00
esp11 124 105 135.475 160       0.39
esp12  95 118 147.470 182       0.00
esp13 128 114 152.820 187       0.10
esp14 114 118 153.435 198       0.00
esp15 165 119 149.360 186       0.25
esp16 166 105 143.445 182       0.07
esp17 110 108 139.835 182       0.02
esp18 130 100 132.795 162       0.81
esp19 142  86 121.480 162       0.09
esp20 121  85 109.745 147       0.37
esp21  96  76  99.445 131       0.80
esp22 125  60  87.730 117       0.00
esp23  97  50  74.345 102       0.03
esp24  70  39  62.215  94       0.43
esp25  61  29  52.305  77       0.34
esp26  40  23  42.570  66       0.81
esp27  46  18  33.290  53       0.09
esp28  37  12  26.980  43       0.12
esp29  45  10  22.335  36       0.00
esp30  40   4  18.355  33       0.00
esp31  19   5  15.400  28       0.45
esp32   7   4  11.860  22       0.22
esp33   8   0   9.250  21       0.91
esp34   2   0   6.465  14       0.07
esp35   2   0   4.785  12       0.37
esp36   0   0   2.935   9       0.25
esp37   1   0   1.715   8       1.00
esp38   1   0   1.060   6       1.00
esp39   2   0   0.685   4       0.41
esp40   0   0   0.320   4       1.00
esp41   3   0   0.205   4       0.04
esp42   1   0   0.085   2       0.12
esp43   0   0   0.020   2       1.00

Goodness-of-fit for minimum geodesic distance 

      obs   min      mean   max MC p-value
1    3459  3203  3273.530  3333       0.00
2   13719 13281 14035.935 14796       0.31
3   25038 22796 24534.165 26187       0.38
4   20758 19311 20453.230 21532       0.47
5    7828  7103  8624.615 10139       0.14
6    1673   774  1863.070  3262       0.77
7     159     0   213.660   699       0.87
8       0     0    20.170   226       1.00
9       0     0     0.365    11       1.00
Inf  2168     0  1783.260  4852       0.43

Goodness-of-fit for model statistics 

                                      obs        min         mean         max MC p-value
mutual.same.layer.mem.1           8.00000     0.0000 0.000000e+00     0.00000       0.00
mutual.same.layer.mem.2         558.00000   527.0000 5.532400e+02   583.00000       0.72
edges_layer.1                   182.00000     0.0000 9.000000e-02    12.00000       0.00
edges_layer.2                  3003.00000  2929.0000 2.999440e+03  3059.00000       0.96
gwesp.layer.1.fixed.1.5          92.18761     0.0000 0.000000e+00     0.00000       0.00
gwesp.layer.2.fixed.1.5       11673.68137 11343.5240 1.164698e+04 11932.13490       0.94
gwideg1.layer.mem1              217.42497   137.0000 1.370546e+02   144.12036       0.00
gwideg1.layer.mem2              340.37602   334.4540 3.400029e+02   346.07325       0.91
gwodeg1.layer.mem1              176.09466   137.0000 1.370569e+02   144.58545       0.00
gwodeg1.layer.mem2              370.12100   369.9213 3.703576e+02   371.36331       0.08
edgecov.layer.1.pol_absdiff     875.00000     0.0000 3.100000e-01    43.00000       0.00
edgecov.layer.2.pol_absdiff   17520.00000 16808.0000 1.744156e+04 17951.00000       0.69
edgecov.layer.1.alliance         90.00000     0.0000 4.000000e-02     6.00000       0.00
edgecov.layer.2.alliance       1318.00000  1280.0000 1.314135e+03  1348.00000       0.80
edgecov.layer.1.nmc_ocov        880.61570     0.0000 2.509086e-01    40.97235       0.00
edgecov.layer.2.nmc_ocov       2488.70909  2335.5897 2.452226e+03  2554.36135       0.48
edgecov.layer.1.log_cdist       315.56522     0.0000 1.318850e-01    17.01678       0.00
edgecov.layer.2.log_cdist      4774.93456  4648.6351 4.768313e+03  4864.78665       0.97
edgecov.layer.1.lgdp_icov      4681.99334     0.0000 2.279727e+00   304.90648       0.00
edgecov.layer.2.lgdp_icov     80516.59323 78579.3222 8.042613e+04 81966.71449       0.96
edgecov.layer.1.lgdp_ocov      5067.50874     0.0000 2.462068e+00   327.74226       0.00
edgecov.layer.2.lgdp_ocov     74478.23910 72725.6717 7.438157e+04 75847.06445       0.93
edgecov.layer.1.pathdep_arms     65.00000     0.0000 3.000000e-02     5.00000       0.00
edgecov.layer.2.pathdep_arms     90.00000    83.0000 8.969000e+01   100.00000       1.00
edgecov.layer.1.pathdep_trade    86.00000     0.0000 2.500000e-02     4.00000       0.00
edgecov.layer.2.pathdep_trade  2687.00000  2647.0000 2.686215e+03  2728.00000       1.00
duplexdyad.e                     85.00000     0.0000 2.500000e-02     4.00000       0.00
duplexdyad.h                     76.00000     0.0000 2.500000e-02     4.00000       0.00
