
Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
esp1  119 113 143.180 176       0.07
esp2  120 122 160.220 190       0.00
esp3  133 106 146.610 188       0.63
esp4  121  84 126.485 164       0.76
esp5   92  80 109.615 143       0.30
esp6   97  68  99.775 139       0.95
esp7   62  62  99.440 138       0.02
esp8   79  71 104.225 143       0.03
esp9  113  81 113.270 143       1.00
esp10  83  98 126.295 158       0.00
esp11 124 109 140.280 167       0.27
esp12  95 116 146.485 185       0.00
esp13 128 120 150.510 187       0.03
esp14 114 120 155.595 195       0.00
esp15 165 122 154.350 194       0.49
esp16 166 114 149.775 180       0.22
esp17 110 118 142.380 172       0.00
esp18 130 109 137.315 165       0.61
esp19 142  97 125.745 165       0.24
esp20 121  85 114.255 152       0.54
esp21  96  78 102.970 126       0.51
esp22 125  63  89.660 115       0.00
esp23  97  52  77.185 106       0.10
esp24  70  44  66.700  93       0.75
esp25  61  36  55.440  88       0.52
esp26  40  25  42.880  63       0.81
esp27  46  15  34.705  56       0.13
esp28  37  15  28.840  49       0.13
esp29  45  10  23.370  39       0.00
esp30  40   9  18.480  34       0.00
esp31  19   4  13.760  25       0.23
esp32   7   1  10.475  20       0.35
esp33   8   0   7.595  17       0.94
esp34   2   1   5.980  13       0.13
esp35   2   0   4.540  14       0.32
esp36   0   0   3.380   9       0.10
esp37   1   0   2.250   6       0.62
esp38   1   0   2.045   6       0.70
esp39   2   0   1.335   5       0.74
esp40   0   0   0.885   4       0.83
esp41   3   0   0.760   4       0.07
esp42   1   0   0.380   3       0.64
esp43   0   0   0.090   2       1.00
esp44   0   0   0.015   2       1.00
esp45   0   0   0.010   1       1.00
esp46   0   0   0.005   1       1.00

Goodness-of-fit for minimum geodesic distance 

      obs   min      mean   max MC p-value
1    3459  3470  3667.550  3784       0.00
2   13719 14225 15092.255 16032       0.00
3   25038 25135 26851.305 28768       0.00
4   20758 17922 19673.195 20896       0.04
5    7828  4509  6119.155  7919       0.02
6    1673   440  1106.015  2216       0.11
7     159     3   168.750   857       0.75
8       0     0    24.900   238       1.00
9       0     0     1.975    43       1.00
Inf  2168  1084  2096.900  4304       0.44

Goodness-of-fit for model statistics 

                                      obs        min       mean        max MC p-value
mutual.same.layer.mem.1           8.00000    11.0000    32.6950    56.0000       0.00
mutual.same.layer.mem.2         558.00000   523.0000   543.0200   568.0000       0.12
edges_layer.1                   182.00000   193.0000   320.9200   395.0000       0.00
edges_layer.2                  3003.00000  2998.0000  3072.6300  3136.0000       0.01
gwesp.layer.1.fixed.1.5          92.18761   110.1057   441.6966   714.9283       0.00
gwesp.layer.2.fixed.1.5       11673.68137 11671.4891 11983.5042 12199.2855       0.01
gwideg1.layer.mem1              217.42497   214.3967   243.5069   258.8909       0.05
gwideg1.layer.mem2              340.37602   333.1013   337.2964   341.1137       0.09
gwodeg1.layer.mem1              176.09466   174.0474   186.9534   195.4562       0.09
gwodeg1.layer.mem2              370.12100   368.4964   368.7618   370.1997       0.02
edgecov.layer.1.pol_absdiff     875.00000   780.0000  1160.5800  1512.0000       0.15
edgecov.layer.2.pol_absdiff   17520.00000 17569.0000 18395.4200 18972.0000       0.00
edgecov.layer.1.alliance         90.00000   105.0000   186.4150   232.0000       0.00
edgecov.layer.2.alliance       1318.00000  1299.0000  1330.0350  1364.0000       0.54
edgecov.layer.1.nmc_ocov        880.61570   821.9013  1171.4832  1472.7223       0.14
edgecov.layer.2.nmc_ocov       2488.70909  2236.6645  2359.1814  2483.4709       0.00
edgecov.layer.1.log_cdist       315.56522   311.7526   497.7856   633.4530       0.05
edgecov.layer.2.log_cdist      4774.93456  4777.2735  4929.9738  5034.0698       0.00
edgecov.layer.1.gdp_icov       4681.99334  5028.1549  8323.0101 10271.8464       0.00
edgecov.layer.2.gdp_icov      80516.59323 80414.5574 82316.7871 83881.5189       0.01
edgecov.layer.1.gdp_ocov       5067.50874  5350.7386  8872.2527 10939.6042       0.00
edgecov.layer.2.gdp_ocov      74478.23910 74348.5556 75966.5798 77389.8956       0.01
edgecov.layer.1.pathdep_arms     65.00000    71.0000    92.4350   115.0000       0.00
edgecov.layer.2.pathdep_arms     90.00000    80.0000    85.2000    94.0000       0.30
edgecov.layer.1.pathdep_trade    86.00000   104.0000   174.1400   216.0000       0.00
edgecov.layer.2.pathdep_trade  2687.00000  2669.0000  2709.8400  2755.0000       0.33

 
 Model Layer Independence: 
 

Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
idegree1    62  40 49.955  68       0.14
idegree2    33  15 24.745  36       0.09
idegree3    39   8 17.675  27       0.00
idegree4    23   9 16.650  29       0.14
idegree5    12  11 19.260  28       0.07
idegree6    12   7 17.330  29       0.11
idegree7     9   8 15.555  25       0.06
idegree8    11   5 14.275  23       0.45
idegree9    11   5 13.135  23       0.66
idegree10    7   3 10.915  20       0.31
idegree11    1   2  9.445  21       0.00
idegree12    3   0  6.430  13       0.33
idegree13    1   0  4.685  13       0.20
idegree14    2   0  3.215  11       0.72
idegree15    1   0  2.250   7       0.58
idegree16    1   0  1.420   5       1.00
idegree17    1   0  1.090   5       1.00
idegree18    1   0  0.605   3       0.91
idegree19    3   0  0.630   4       0.06
idegree20    1   0  0.780   4       1.00
idegree21    1   0  0.705   3       0.99
idegree22    1   0  0.835   4       1.00
idegree23    0   0  0.735   4       0.88
idegree24    1   0  0.500   3       0.78
idegree25    1   0  0.520   3       0.85
idegree26    0   0  0.595   3       1.00
idegree27    2   0  0.895   4       0.41
idegree28    1   0  1.135   4       1.00
idegree29    2   0  1.370   5       0.74
idegree30    0   0  1.390   6       0.41
idegree31    0   0  1.285   5       0.50
idegree32    1   0  1.215   5       1.00
idegree33    0   0  1.000   4       0.69
idegree34    2   0  0.965   4       0.50
idegree35    0   0  0.685   3       0.99
idegree36    0   0  0.590   3       1.00
idegree37    0   0  0.525   3       1.00
idegree38    0   0  0.780   4       0.90
idegree39    1   0  0.685   4       1.00
idegree40    2   0  1.045   4       0.53
idegree41    0   0  0.955   4       0.74
idegree42    0   0  0.810   3       0.83
idegree43    3   0  0.930   4       0.10
idegree44    1   0  1.155   4       1.00
idegree45    1   0  1.080   4       1.00
idegree46    1   0  1.075   6       1.00
idegree47    1   0  0.830   3       1.00
idegree48    0   0  0.805   4       0.89
idegree49    0   0  0.720   3       0.86
idegree50    1   0  0.630   3       0.97
idegree51    0   0  0.545   3       1.00
idegree52    1   0  0.445   2       0.77
idegree53    0   0  0.235   2       1.00
idegree54    0   0  0.125   2       1.00
idegree55    0   0  0.100   1       1.00
idegree56    0   0  0.040   2       1.00
idegree57    0   0  0.030   1       1.00
idegree58    0   0  0.050   1       1.00
idegree59    0   0  0.085   1       1.00
idegree60    0   0  0.260   1       1.00
idegree61    1   0  0.225   2       0.41
idegree62    1   0  0.385   2       0.69
idegree63    0   0  0.370   3       1.00
idegree64    1   0  0.330   3       0.59
idegree65    0   0  0.335   2       1.00
idegree66    0   0  0.295   2       1.00
idegree67    0   0  0.325   2       1.00
idegree68    0   0  0.365   2       1.00
idegree69    0   0  0.300   2       1.00
idegree70    0   0  0.250   2       1.00
idegree71    0   0  0.180   2       1.00
idegree72    1   0  0.175   2       0.34
idegree73    0   0  0.230   1       1.00
idegree74    1   0  0.200   1       0.40
idegree75    0   0  0.195   2       1.00
idegree76    0   0  0.220   2       1.00
idegree77    0   0  0.230   2       1.00
idegree78    0   0  0.200   2       1.00
idegree79    0   0  0.165   2       1.00
idegree80    0   0  0.180   2       1.00
idegree81    1   0  0.195   2       0.38
idegree82    0   0  0.115   1       1.00
idegree83    0   0  0.060   1       1.00
idegree84    0   0  0.035   1       1.00
idegree85    0   0  0.020   1       1.00
idegree86    0   0  0.015   1       1.00
idegree96    0   0  0.020   1       1.00
idegree97    0   0  0.125   1       1.00
idegree98    0   0  0.175   1       1.00
idegree99    0   0  0.445   3       1.00
idegree100   1   0  0.555   3       0.91
idegree101   0   0  0.420   2       1.00
idegree102   0   0  0.380   2       1.00
idegree103   0   0  0.335   3       1.00
idegree104   0   0  0.180   1       1.00
idegree105   0   0  0.455   2       1.00
idegree106   0   0  0.355   2       1.00
idegree107   0   0  0.325   2       1.00
idegree108   0   0  0.220   2       1.00
idegree109   2   0  0.050   1       0.00
idegree110   0   0  0.075   1       1.00
idegree111   1   0  0.035   1       0.07
idegree112   0   0  0.055   1       1.00
idegree113   0   0  0.110   1       1.00
idegree114   0   0  0.300   1       1.00
idegree115   0   0  0.290   2       1.00
idegree116   0   0  0.210   1       1.00
idegree117   1   0  0.080   1       0.16
idegree118   1   0  0.295   2       0.56
idegree119   0   0  0.750   3       0.86
idegree120   0   0  0.985   3       0.47
idegree121   0   0  0.635   2       0.85
idegree122   2   0  0.430   2       0.11
idegree123   0   0  0.435   2       1.00
idegree124   1   0  0.220   1       0.44
idegree125   0   0  0.220   2       1.00
idegree126   0   0  0.165   1       1.00
idegree127   0   0  0.065   1       1.00
idegree128   0   0  0.145   1       1.00
idegree129   1   0  0.200   1       0.40
idegree130   0   0  0.110   1       1.00
idegree131   0   0  0.035   1       1.00
idegree132   0   0  0.085   1       1.00
idegree133   0   0  0.030   1       1.00

Goodness-of-fit for out-degree 

          obs min   mean max MC p-value
odegree1  105  48 62.265  89       0.00
odegree2   13  10 19.105  30       0.16
odegree3    0   2  8.455  16       0.00
odegree4    4   1  5.760  12       0.58
odegree5    5   0  4.755  13       1.00
odegree6    2   0  4.325  12       0.32
odegree7    1   0  4.065  10       0.14
odegree8    3   0  3.730  10       0.96
odegree9    1   0  3.930   9       0.14
odegree10   1   0  3.555   9       0.19
odegree11   5   0  3.630   9       0.58
odegree12   2   0  3.625  10       0.55
odegree13   7   0  4.115  10       0.23
odegree14   3   1  5.375  11       0.40
odegree15   5   1  6.550  13       0.71
odegree16   4   1  7.455  18       0.39
odegree17   2   1  7.660  17       0.08
odegree18  11   2  8.005  16       0.30
odegree19   7   3  8.150  16       0.85
odegree20   2   3  9.020  16       0.00
odegree21   7   3  8.370  15       0.80
odegree22  10   1  8.335  15       0.65
odegree23   4   3  8.520  15       0.07
odegree24  12   3  8.375  21       0.31
odegree25   9   1  6.740  13       0.44
odegree26   6   1  6.935  11       0.79
odegree27   8   2  6.450  13       0.56
odegree28   5   1  6.215  12       0.74
odegree29   3   1  5.235  10       0.44
odegree30   2   0  4.475  11       0.29
odegree31   4   0  3.375   9       0.86
odegree32   7   0  2.435   6       0.00
odegree33   6   0  2.345   7       0.05
odegree34   2   0  2.240   6       1.00
odegree35   2   0  1.470   5       0.96
odegree36   1   0  1.735   5       0.96
odegree37   2   0  1.245   5       0.77
odegree38   0   0  1.625   7       0.35
odegree39   0   0  1.285   5       0.57
odegree40   0   0  0.880   4       0.90
odegree41   0   0  0.640   4       1.00
odegree42   0   0  0.605   3       1.00
odegree43   0   0  0.495   2       1.00
odegree44   1   0  0.275   2       0.50
odegree45   0   0  0.075   1       1.00
odegree46   0   0  0.060   1       1.00
odegree47   0   0  0.025   1       1.00
odegree48   0   0  0.010   1       1.00

Goodness-of-fit for edgewise shared partner 

      obs min    mean max MC p-value
esp0  442 496 597.195 677       0.00
esp1  119 123 223.955 276       0.00
esp2  120  99 156.915 199       0.18
esp3  133  92 118.815 159       0.26
esp4  121  61  88.415 114       0.00
esp5   92  64  82.910 105       0.32
esp6   97  65  88.120 113       0.42
esp7   62  66  90.195 118       0.00
esp8   79  71  98.560 128       0.14
esp9  113  74 105.985 133       0.60
esp10  83  90 124.810 148       0.00
esp11 124 103 144.180 179       0.17
esp12  95 114 157.160 197       0.00
esp13 128 117 155.575 191       0.08
esp14 114 123 157.795 189       0.00
esp15 165 127 155.205 191       0.42
esp16 166 119 152.425 192       0.30
esp17 110 119 150.330 185       0.00
esp18 130 108 140.380 176       0.43
esp19 142  99 123.910 155       0.13
esp20 121  80 111.355 139       0.47
esp21  96  71 100.675 134       0.71
esp22 125  63  88.315 115       0.00
esp23  97  51  78.230 104       0.04
esp24  70  41  68.615  92       0.78
esp25  61  36  56.535  76       0.62
esp26  40  30  44.985  71       0.52
esp27  46  18  34.555  59       0.07
esp28  37  15  27.455  46       0.10
esp29  45  11  21.805  36       0.00
esp30  40  11  19.530  32       0.00
esp31  19   7  17.395  31       0.85
esp32   7   7  15.045  24       0.01
esp33   8   2  11.055  21       0.51
esp34   2   2   8.775  17       0.02
esp35   2   1   6.735  17       0.10
esp36   0   1   5.805  15       0.00
esp37   1   0   4.425  12       0.27
esp38   1   0   3.490  10       0.33
esp39   2   0   2.040   7       1.00
esp40   0   0   1.310   5       0.52
esp41   3   0   0.820   5       0.13
esp42   1   0   0.255   3       0.38
esp43   0   0   0.085   3       1.00
esp44   0   0   0.050   3       1.00
esp45   0   0   0.010   1       1.00

Goodness-of-fit for minimum geodesic distance 

      obs   min      mean   max MC p-value
1    3459  3517  3842.185  4012       0.00
2   13719 14558 16760.055 18194       0.00
3   25038 25648 27799.655 29486       0.00
4   20758 13527 15733.855 18871       0.00
5    7828  2994  4474.050  6851       0.00
6    1673   274   866.360  1974       0.05
7     159     0   128.755   414       0.70
8       0     0    12.415   112       0.84
9       0     0     0.200     9       1.00
10      0     0     0.010     1       1.00
Inf  2168  3232  5184.460  8024       0.00

Goodness-of-fit for model statistics 

                                      obs        min       mean        max MC p-value
mutual.same.layer.mem.1           8.00000    21.0000   105.7650   146.0000       0.00
mutual.same.layer.mem.2         558.00000   557.0000   588.5950   613.0000       0.02
edges_layer.1                   182.00000   271.0000   580.3150   707.0000       0.00
edges_layer.2                  3003.00000  2944.0000  2987.8700  3043.0000       0.47
gwesp.layer.1.fixed.1.5          92.18761   110.2535   427.3470   697.8519       0.00
gwesp.layer.2.fixed.1.5       11673.68137 11713.2637 11924.9156 12201.0187       0.00
gwideg1.layer.mem1              217.42497   230.0429   278.2376   295.3462       0.00
gwideg1.layer.mem2              340.37602   316.6050   322.3405   330.5390       0.00
gwodeg1.layer.mem1              176.09466   197.3226   239.3542   255.6640       0.00
gwodeg1.layer.mem2              370.12100   363.6801   366.1690   368.7476       0.00
edgecov.layer.1.pol_absdiff     875.00000  1336.0000  2621.1600  3223.0000       0.00
edgecov.layer.2.pol_absdiff   17520.00000 17335.0000 17814.8400 18350.0000       0.17
edgecov.layer.1.alliance         90.00000   121.0000   246.0700   304.0000       0.00
edgecov.layer.2.alliance       1318.00000  1280.0000  1311.9150  1340.0000       0.62
edgecov.layer.1.nmc_ocov        880.61570  1026.3909  1627.5189  1904.8142       0.00
edgecov.layer.2.nmc_ocov       2488.70909  2375.2967  2505.1329  2619.1391       0.80
edgecov.layer.1.log_cdist       315.56522   436.3343   928.8246  1137.0665       0.00
edgecov.layer.2.log_cdist      4774.93456  4674.0133  4749.2057  4864.6554       0.47
edgecov.layer.1.lgdp_icov      4681.99334  7004.9615 14901.0247 18155.2778       0.00
edgecov.layer.2.lgdp_icov     80516.59323 79197.5534 80323.9179 81792.5894       0.64
edgecov.layer.1.lgdp_ocov      5067.50874  7477.6053 15716.2752 19074.2648       0.00
edgecov.layer.2.lgdp_ocov     74478.23910 73120.1620 74247.6620 75613.6843       0.59
edgecov.layer.1.pathdep_arms     65.00000    55.0000    74.4400    88.0000       0.44
edgecov.layer.2.pathdep_arms     90.00000    97.0000   119.9450   129.0000       0.00
edgecov.layer.1.pathdep_trade    86.00000   117.0000   234.0600   283.0000       0.00
edgecov.layer.2.pathdep_trade  2687.00000  2602.0000  2620.5450  2670.0000       0.00
duplexdyad.e                     85.00000   121.0000   246.1150   307.0000       0.00
duplexdyad.f                    141.00000   208.0000   391.9800   472.0000       0.00
duplexdyad.h                     76.00000   101.0000   171.0850   207.0000       0.00
