
Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
idegree69    0   0  0.210   2       1.00
idegree70    0   0  0.160   2       1.00
idegree71    0   0  0.155   2       1.00
idegree72    1   0  0.260   2       0.47
idegree73    0   0  0.280   2       1.00
idegree74    1   0  0.175   2       0.32
idegree75    0   0  0.320   2       1.00
idegree76    0   0  0.320   2       1.00
idegree77    0   0  0.250   2       1.00
idegree78    0   0  0.175   2       1.00
idegree79    0   0  0.140   2       1.00
idegree80    0   0  0.060   1       1.00
idegree81    1   0  0.040   1       0.08
idegree83    0   0  0.035   1       1.00
idegree84    0   0  0.005   1       1.00
idegree85    0   0  0.010   1       1.00
idegree86    0   0  0.005   1       1.00
idegree90    0   0  0.020   1       1.00
idegree91    0   0  0.055   1       1.00
idegree92    0   0  0.095   1       1.00
idegree93    0   0  0.105   1       1.00
idegree94    0   0  0.215   1       1.00
idegree95    0   0  0.260   2       1.00
idegree96    0   0  0.125   1       1.00
idegree97    0   0  0.145   1       1.00
idegree98    0   0  0.210   2       1.00
idegree99    0   0  0.230   1       1.00
idegree100   1   0  0.195   1       0.39
idegree101   0   0  0.145   1       1.00
idegree102   0   0  0.220   2       1.00
idegree103   0   0  0.270   2       1.00
idegree104   0   0  0.300   2       1.00
idegree105   0   0  0.305   2       1.00
idegree106   0   0  0.205   2       1.00
idegree107   0   0  0.265   2       1.00
idegree108   0   0  0.375   2       1.00
idegree109   2   0  0.210   1       0.00
idegree110   0   0  0.190   1       1.00
idegree111   1   0  0.235   1       0.47
idegree112   0   0  0.200   1       1.00
idegree113   0   0  0.250   2       1.00
idegree114   0   0  0.220   2       1.00
idegree115   0   0  0.295   2       1.00
idegree116   0   0  0.175   2       1.00
idegree117   1   0  0.340   2       0.57
idegree118   1   0  0.565   2       0.99
idegree119   0   0  0.625   3       1.00
idegree120   0   0  0.755   2       0.82
idegree121   0   0  0.495   2       1.00
idegree122   2   0  0.350   2       0.12
idegree123   0   0  0.245   2       1.00
idegree124   1   0  0.045   1       0.09
idegree125   0   0  0.085   1       1.00
idegree126   0   0  0.135   1       1.00
idegree127   0   0  0.110   1       1.00
idegree128   0   0  0.175   1       1.00
idegree129   1   0  0.230   1       0.46
idegree130   0   0  0.255   1       1.00
idegree131   0   0  0.030   1       1.00
idegree132   0   0  0.045   1       1.00

Goodness-of-fit for out-degree 

          obs min    mean max MC p-value
odegree1  105  90 100.705 110       0.35
odegree2   13   3  12.240  21       0.92
odegree3    0   0   4.100  11       0.04
odegree4    4   0   2.370   8       0.42
odegree5    5   0   1.605   7       0.05
odegree6    2   0   1.535   5       0.97
odegree7    1   0   1.700   6       0.96
odegree8    3   0   1.710   5       0.53
odegree9    1   0   2.125   8       0.67
odegree10   1   0   2.095   6       0.69
odegree11   5   0   2.510   8       0.21
odegree12   2   0   3.005   8       0.84
odegree13   7   0   2.990   8       0.08
odegree14   3   0   3.500   9       1.00
odegree15   5   0   4.655  10       1.00
odegree16   4   0   5.880  12       0.51
odegree17   2   1   6.650  15       0.06
odegree18  11   2   7.160  15       0.20
odegree19   7   0   7.170  16       1.00
odegree20   2   2   8.320  16       0.02
odegree21   7   3   9.075  19       0.61
odegree22  10   3   9.290  17       0.89
odegree23   4   2   9.195  16       0.05
odegree24  12   2   8.915  15       0.31
odegree25   9   3   8.115  15       0.81
odegree26   6   1   7.395  16       0.80
odegree27   8   1   6.895  13       0.87
odegree28   5   0   6.040  13       0.85
odegree29   3   1   4.695  11       0.51
odegree30   2   0   4.050  10       0.39
odegree31   4   0   3.605   8       1.00
odegree32   7   0   3.030   9       0.02
odegree33   6   0   2.770   7       0.13
odegree34   2   0   2.620   7       1.00
odegree35   2   0   1.885   6       1.00
odegree36   1   0   1.095   5       1.00
odegree37   2   0   0.885   4       0.42
odegree38   0   0   0.465   3       1.00
odegree39   0   0   0.385   2       1.00
odegree40   0   0   0.420   2       1.00
odegree41   0   0   0.445   2       1.00
odegree42   0   0   0.385   2       1.00
odegree43   0   0   0.175   2       1.00
odegree44   1   0   0.130   1       0.26
odegree45   0   0   0.015   1       1.00

Goodness-of-fit for edgewise shared partner 

      obs min    mean max MC p-value
esp0  442 403 426.110 460       0.20
esp1  119  94 128.465 166       0.40
esp2  120 111 143.480 177       0.09
esp3  133 100 134.535 172       0.94
esp4  121  77 118.365 159       0.98
esp5   92  68 102.415 131       0.50
esp6   97  69  97.675 131       0.98
esp7   62  66  97.205 135       0.00
esp8   79  77 101.815 137       0.03
esp9  113  81 117.385 144       0.72
esp10  83  98 131.165 167       0.00
esp11 124 111 142.690 177       0.17
esp12  95 115 145.085 182       0.00
esp13 128 121 150.465 179       0.04
esp14 114 116 153.335 190       0.00
esp15 165 116 150.545 190       0.38
esp16 166 113 145.920 193       0.17
esp17 110 110 141.020 181       0.01
esp18 130 106 134.380 162       0.75
esp19 142  99 127.130 161       0.16
esp20 121  81 113.005 146       0.50
esp21  96  69  98.660 145       0.89
esp22 125  61  84.735 124       0.00
esp23  97  49  72.740 103       0.03
esp24  70  38  58.190  83       0.19
esp25  61  31  50.065  74       0.20
esp26  40  25  40.660  60       1.00
esp27  46  18  31.570  48       0.02
esp28  37  12  24.820  41       0.03
esp29  45  10  21.040  35       0.00
esp30  40   6  17.555  29       0.00
esp31  19   3  13.295  26       0.22
esp32   7   2   8.820  17       0.68
esp33   8   0   5.555  12       0.45
esp34   2   0   3.425  12       0.77
esp35   2   0   2.675   8       1.00
esp36   0   0   1.960   8       0.26
esp37   1   0   1.585   6       1.00
esp38   1   0   1.480   6       1.00
esp39   2   0   1.165   4       0.65
esp40   0   0   0.765   4       0.84
esp41   3   0   0.400   3       0.05
esp42   1   0   0.150   3       0.28
esp43   0   0   0.010   1       1.00

Goodness-of-fit for minimum geodesic distance 

      obs   min      mean   max MC p-value
1    3459  3416  3543.510  3644       0.16
2   13719 13776 14448.515 15306       0.00
3   25038 24579 25591.215 26811       0.25
4   20758 18061 19468.470 21277       0.14
5    7828  5318  6917.020  8257       0.10
6    1673   712  1507.035  2511       0.63
7     159     2   198.485   632       0.96
8       0     0    21.610   184       0.81
9       0     0     0.290     7       1.00
10      0     0     0.010     2       1.00
Inf  2168   544  3105.840  5336       0.50

Goodness-of-fit for model statistics 

                                      obs         min       mean        max MC p-value
mutual.same.layer.mem.1           8.00000     9.00000    31.6100    61.0000       0.00
mutual.same.layer.mem.2         558.00000   513.00000   538.1850   566.0000       0.03
edges_layer.1                   182.00000   158.00000   285.0600   376.0000       0.08
edges_layer.2                  3003.00000  2945.00000  2984.4500  3019.0000       0.21
gwesp.layer.1.fixed.1.5          92.18761    75.28718   377.2873   648.9353       0.07
gwesp.layer.2.fixed.1.5       11673.68137 11474.84686 11647.6258 11842.1720       0.83
gwideg1.layer.mem1              217.42497   206.88534   230.9275   246.7749       0.12
gwideg1.layer.mem2              340.37602   329.46324   333.8768   339.0032       0.00
gwodeg1.layer.mem1              176.09466   172.25363   185.7577   197.3938       0.13
gwodeg1.layer.mem2              370.12100   365.33863   367.5521   370.0553       0.00
edgecov.layer.1.pol_absdiff     875.00000   684.00000   991.6300  1327.0000       0.43
edgecov.layer.1.alliance         90.00000    89.00000   179.8000   251.0000       0.02
edgecov.layer.1.nmc_ocov        880.61570   826.55113  1133.9024  1393.9926       0.06
edgecov.layer.1.log_cdist       315.56522   246.24068   404.7857   520.0643       0.10
edgecov.layer.1.lgdp_icov      4681.99334  4080.94765  7400.3048  9800.4703       0.08
edgecov.layer.1.lgdp_ocov      5067.50874  4418.71916  7912.0241 10368.3582       0.08
edgecov.layer.1.pathdep_arms     65.00000    53.00000    70.9150    87.0000       0.71
edgecov.layer.1.pathdep_trade    86.00000    92.00000   172.8850   231.0000       0.00
edgecov.layer.2.pol_absdiff   17520.00000 17440.00000 17867.3850 18369.0000       0.07
edgecov.layer.2.alliance       1318.00000  1297.00000  1321.3650  1340.0000       0.67
edgecov.layer.2.nmc_ocov       2488.70909  2240.28226  2361.2644  2483.4491       0.00
edgecov.layer.2.log_cdist      4774.93456  4645.04895  4724.4187  4800.9180       0.13
edgecov.layer.2.lgdp_icov     80516.59323 78998.78032 80037.9742 80990.2228       0.21
edgecov.layer.2.lgdp_ocov     74478.23910 72868.58348 73865.5902 74705.9134       0.07
edgecov.layer.2.pathdep_arms     90.00000    82.00000    87.6750    92.0000       0.41
edgecov.layer.2.pathdep_trade  2687.00000  2637.00000  2666.0800  2682.0000       0.00

 
 Model Layer Independence: 
 

Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
idegree1    62  35 52.825  68       0.23
idegree2    33  27 38.355  55       0.34
idegree3    39  14 24.105  34       0.00
idegree4    23  10 20.175  29       0.54
idegree5    12   9 17.115  26       0.28
idegree6    12   4 13.625  22       0.70
idegree7     9   5 13.475  26       0.17
idegree8    11   3 11.905  20       0.88
idegree9    11   4  8.575  18       0.44
idegree10    7   0  6.890  15       1.00
idegree11    1   0  5.415  14       0.09
idegree12    3   0  4.900  12       0.67
idegree13    1   0  3.675  10       0.41
idegree14    2   0  2.635   8       1.00
idegree15    1   0  2.060   6       0.79
idegree16    1   0  1.580   6       1.00
idegree17    1   0  1.205   4       1.00
idegree18    1   0  0.820   4       1.00
idegree19    3   0  0.740   4       0.05
idegree20    1   0  0.610   4       0.99
idegree21    1   0  0.520   2       0.83
idegree22    1   0  0.590   3       0.90
idegree23    0   0  0.610   2       1.00
idegree24    1   0  0.630   3       1.00
idegree25    1   0  0.770   5       1.00
idegree26    0   0  0.765   3       0.81
idegree27    2   0  1.070   4       0.59
idegree28    1   0  1.175   5       1.00
idegree29    2   0  1.210   5       0.65
idegree30    0   0  1.075   4       0.66
idegree31    0   0  0.885   4       0.81
idegree32    1   0  1.025   4       1.00
idegree33    0   0  1.060   4       0.71
idegree34    2   0  1.000   5       0.42
idegree35    0   0  0.865   4       0.82
idegree36    0   0  0.755   4       1.00
idegree37    0   0  0.685   3       0.95
idegree38    0   0  0.780   4       0.91
idegree39    1   0  0.750   4       1.00
idegree40    2   0  0.735   3       0.40
idegree41    0   0  0.750   4       0.96
idegree42    0   0  0.795   3       0.88
idegree43    3   0  0.900   4       0.07
idegree44    1   0  1.055   4       1.00
idegree45    1   0  1.125   4       1.00
idegree46    1   0  0.930   4       1.00
idegree47    1   0  1.055   4       1.00
idegree48    0   0  0.790   4       0.86
idegree49    0   0  0.700   3       0.98
idegree50    1   0  0.575   4       0.86
idegree51    0   0  0.455   3       1.00
idegree52    1   0  0.305   2       0.55
idegree53    0   0  0.250   2       1.00
idegree54    0   0  0.275   2       1.00
idegree55    0   0  0.170   1       1.00
idegree56    0   0  0.115   2       1.00
idegree57    0   0  0.160   2       1.00
idegree58    0   0  0.145   1       1.00
idegree59    0   0  0.205   2       1.00
idegree60    0   0  0.345   2       1.00
idegree61    1   0  0.300   2       0.53
idegree62    1   0  0.365   2       0.69
idegree63    0   0  0.370   3       1.00
idegree64    1   0  0.455   3       0.82
idegree65    0   0  0.485   2       1.00
idegree66    0   0  0.360   2       1.00
idegree67    0   0  0.315   2       1.00
idegree68    0   0  0.210   2       1.00
idegree69    0   0  0.120   2       1.00
idegree70    0   0  0.135   1       1.00
idegree71    0   0  0.120   1       1.00
idegree72    1   0  0.095   3       0.17
idegree73    0   0  0.125   2       1.00
idegree74    1   0  0.170   2       0.32
idegree75    0   0  0.230   2       1.00
idegree76    0   0  0.255   2       1.00
idegree77    0   0  0.250   2       1.00
idegree78    0   0  0.255   2       1.00
idegree79    0   0  0.230   2       1.00
idegree80    0   0  0.130   2       1.00
idegree81    1   0  0.095   2       0.18
idegree82    0   0  0.105   1       1.00
idegree83    0   0  0.045   1       1.00
idegree84    0   0  0.025   1       1.00
idegree86    0   0  0.005   1       1.00
idegree87    0   0  0.010   1       1.00
idegree92    0   0  0.005   1       1.00
idegree93    0   0  0.030   1       1.00
idegree94    0   0  0.040   1       1.00
idegree95    0   0  0.145   2       1.00
idegree96    0   0  0.170   2       1.00
idegree97    0   0  0.180   2       1.00
idegree98    0   0  0.190   2       1.00
idegree99    0   0  0.205   2       1.00
idegree100   1   0  0.340   2       0.64
idegree101   0   0  0.290   2       1.00
idegree102   0   0  0.205   2       1.00
idegree103   0   0  0.200   2       1.00
idegree104   0   0  0.415   2       1.00
idegree105   0   0  0.440   2       1.00
idegree106   0   0  0.455   2       1.00
idegree107   0   0  0.320   1       1.00
idegree108   0   0  0.185   2       1.00
idegree109   2   0  0.145   1       0.00
idegree110   0   0  0.145   1       1.00
idegree111   1   0  0.100   1       0.20
idegree112   0   0  0.125   1       1.00
idegree113   0   0  0.155   2       1.00
idegree114   0   0  0.385   2       1.00
idegree115   0   0  0.325   2       1.00
idegree116   0   0  0.385   2       1.00
idegree117   1   0  0.420   2       0.76
idegree118   1   0  0.590   3       1.00
idegree119   0   0  0.630   3       1.00
idegree120   0   0  0.525   3       1.00
idegree121   0   0  0.625   2       0.90
idegree122   2   0  0.500   3       0.13
idegree123   0   0  0.125   2       1.00
idegree124   1   0  0.080   1       0.16
idegree125   0   0  0.370   1       1.00
idegree126   0   0  0.170   1       1.00
idegree127   0   0  0.160   1       1.00
idegree128   0   0  0.075   1       1.00
idegree129   1   0  0.045   1       0.09
idegree130   0   0  0.030   1       1.00
idegree131   0   0  0.065   1       1.00
idegree132   0   0  0.010   1       1.00

Goodness-of-fit for out-degree 

          obs min    mean max MC p-value
odegree1  105  96 102.990 110       0.74
odegree2   13   4  10.295  17       0.40
odegree3    0   0   2.635   7       0.22
odegree4    4   0   1.345   5       0.12
odegree5    5   0   1.125   4       0.00
odegree6    2   0   1.305   5       0.71
odegree7    1   0   1.605   5       1.00
odegree8    3   0   1.735   6       0.58
odegree9    1   0   1.605   6       1.00
odegree10   1   0   2.170   7       0.66
odegree11   5   0   2.315   6       0.16
odegree12   2   0   2.820   8       0.96
odegree13   7   0   3.055   8       0.02
odegree14   3   0   3.605   8       0.95
odegree15   5   0   4.450   9       0.93
odegree16   4   0   5.845  14       0.52
odegree17   2   3   7.680  15       0.00
odegree18  11   2   8.055  16       0.31
odegree19   7   0   7.360  15       1.00
odegree20   2   2   7.960  15       0.02
odegree21   7   1   7.765  14       0.97
odegree22  10   2   8.170  14       0.63
odegree23   4   2   7.970  15       0.15
odegree24  12   3   8.775  15       0.34
odegree25   9   2   8.950  17       1.00
odegree26   6   3   8.800  18       0.40
odegree27   8   1   7.850  15       1.00
odegree28   5   1   6.935  13       0.50
odegree29   3   1   5.385  11       0.36
odegree30   2   0   4.140   9       0.42
odegree31   4   0   3.005   8       0.64
odegree32   7   0   2.725   7       0.01
odegree33   6   0   2.620   6       0.03
odegree34   2   0   2.085   6       1.00
odegree35   2   0   2.030   5       1.00
odegree36   1   0   1.510   5       1.00
odegree37   2   0   1.405   4       0.94
odegree38   0   0   0.975   4       0.59
odegree39   0   0   0.560   3       1.00
odegree40   0   0   0.375   2       1.00
odegree41   0   0   0.485   2       1.00
odegree42   0   0   0.490   2       1.00
odegree43   0   0   0.430   2       1.00
odegree44   1   0   0.260   1       0.52
odegree45   0   0   0.170   1       1.00
odegree46   0   0   0.075   1       1.00
odegree47   0   0   0.095   1       1.00
odegree48   0   0   0.005   1       1.00
odegree49   0   0   0.005   1       1.00

Goodness-of-fit for edgewise shared partner 

      obs min    mean max MC p-value
esp0  442 375 411.570 443       0.03
esp1  119 112 138.970 178       0.07
esp2  120  97 145.150 200       0.06
esp3  133 100 142.730 181       0.56
esp4  121  85 126.110 173       0.62
esp5   92  77 107.675 135       0.22
esp6   97  73 103.130 143       0.69
esp7   62  67  95.405 134       0.00
esp8   79  67 103.360 132       0.06
esp9  113  84 112.770 142       1.00
esp10  83  83 124.580 162       0.01
esp11 124 105 140.335 168       0.29
esp12  95 119 147.940 185       0.00
esp13 128 106 149.485 184       0.11
esp14 114 127 160.565 199       0.00
esp15 165 123 156.795 198       0.59
esp16 166 109 146.925 191       0.20
esp17 110 109 141.670 176       0.01
esp18 130 105 136.460 164       0.58
esp19 142 104 129.435 153       0.26
esp20 121  87 116.000 161       0.66
esp21  96  70 105.710 145       0.44
esp22 125  65  94.800 137       0.04
esp23  97  49  79.735 107       0.08
esp24  70  50  70.345 101       1.00
esp25  61  33  56.300  90       0.62
esp26  40  24  43.180  66       0.78
esp27  46  14  32.060  57       0.02
esp28  37  15  26.885  43       0.12
esp29  45   9  22.985  41       0.00
esp30  40   9  19.145  31       0.00
esp31  19   6  15.860  26       0.57
esp32   7   3  11.870  25       0.31
esp33   8   2   8.810  21       1.00
esp34   2   2   6.895  20       0.10
esp35   2   0   4.200  12       0.44
esp36   0   0   2.535   9       0.27
esp37   1   0   2.205   7       0.80
esp38   1   0   2.240   7       0.85
esp39   2   0   1.505   7       0.84
esp40   0   0   1.275   4       0.69
esp41   3   0   0.760   5       0.15
esp42   1   0   0.495   3       0.63
esp43   0   0   0.170   2       1.00
esp44   0   0   0.065   2       1.00
esp45   0   0   0.035   1       1.00

Goodness-of-fit for minimum geodesic distance 

      obs   min      mean   max MC p-value
1    3459  3446  3647.125  3806       0.01
2   13719 14001 14901.075 15866       0.00
3   25038 24606 26049.465 27822       0.11
4   20758 17663 18868.830 20686       0.00
5    7828  4540  6070.360  7450       0.00
6    1673   371  1221.220  1930       0.14
7     159     0   161.135   507       0.92
8       0     0    15.330   161       0.92
9       0     0     0.175     4       1.00
10      0     0     0.005     1       1.00
Inf  2168  2160  3867.280  5896       0.05

Goodness-of-fit for model statistics 

                                      obs        min       mean        max MC p-value
mutual.same.layer.mem.1           8.00000    12.0000    40.4500    70.0000       0.00
mutual.same.layer.mem.2         558.00000   545.0000   569.7450   587.0000       0.31
edges_layer.1                   182.00000   197.0000   349.4750   511.0000       0.00
edges_layer.2                  3003.00000  2975.0000  3023.6500  3064.0000       0.25
gwesp.layer.1.fixed.1.5          92.18761   144.9815   562.4561  1019.1184       0.00
gwesp.layer.2.fixed.1.5       11673.68137 11635.3448 11911.5214 12105.2321       0.01
gwideg1.layer.mem1              217.42497   215.7398   242.2313   271.5916       0.03
gwideg1.layer.mem2              340.37602   331.6057   334.7195   337.5115       0.00
gwodeg1.layer.mem1              176.09466   174.4562   187.8733   198.5195       0.03
gwodeg1.layer.mem2              370.12100   363.6630   365.2782   369.6631       0.00
edgecov.layer.1.pol_absdiff     875.00000   757.0000  1088.2750  1809.0000       0.29
edgecov.layer.1.alliance         90.00000   101.0000   208.5800   300.0000       0.00
edgecov.layer.1.nmc_ocov        880.61570   927.7105  1236.5949  1739.9319       0.00
edgecov.layer.1.log_cdist       315.56522   328.0017   524.9096   774.0416       0.00
edgecov.layer.1.lgdp_icov      4681.99334  5107.7504  9088.3065 13165.9688       0.00
edgecov.layer.1.lgdp_ocov      5067.50874  5508.0922  9673.9567 14106.3099       0.00
edgecov.layer.1.pathdep_arms     65.00000    61.0000    82.2700   101.0000       0.08
edgecov.layer.1.pathdep_trade    86.00000   108.0000   207.6350   287.0000       0.00
edgecov.layer.2.pol_absdiff   17520.00000 17379.0000 18059.6150 18586.0000       0.04
edgecov.layer.2.alliance       1318.00000  1317.0000  1347.7650  1382.0000       0.03
edgecov.layer.2.nmc_ocov       2488.70909  2413.9108  2504.8964  2585.3483       0.60
edgecov.layer.2.log_cdist      4774.93456  4712.5162  4782.7714  4854.1750       0.77
edgecov.layer.2.lgdp_icov     80516.59323 79844.0367 81042.8621 82060.9454       0.23
edgecov.layer.2.lgdp_ocov     74478.23910 73859.1830 74916.4390 75834.4823       0.27
edgecov.layer.2.pathdep_arms     90.00000    86.0000    89.4300    95.0000       0.93
edgecov.layer.2.pathdep_trade  2687.00000  2669.0000  2685.8500  2704.0000       0.81
duplexdyad.e                     85.00000   101.0000   205.3000   283.0000       0.00
duplexdyad.h                     76.00000    94.0000   190.8200   266.0000       0.00
